year_of_incident,watch,type_of_incident,type_location,type_of_property,incident_address,reporting_area,beat,division,council_district,date1_of_occurrence,year1_of_occurrence,month1_of_occurence,day1_of_the_week,time1_of_occurrence,day1_of_the_year,date2_of_occurrence,year2_of_occurrence,month2_of_occurence,day2_of_the_week,time2_of_occurrence,day2_of_the_year,date_of_report,date_incident_created,offense_entered_year,offense_entered_month,offense_entered_day_of_the_week,offense_entered_time,offense_entered_date_time,call_received_date_time,call_date_time,call_cleared_date_time,call_dispatch_date_time,person_involvement_type,victim_type,victim_race,victim_ethnicity,victim_gender,element_number_assigned,investigating_unit_1,investigating_unit_2,offense_status,ucr_disposition,modus_operandi_mo,family_offense,hate_crime,hate_crime_description,weapon_used,gang_related_offense,drug_related_istevencident,criminal_justice_information_service_code,penal_code,ucr_offense_name,ucr_offense_description,ucr_code,offense_type,nibrs_crime,nibrs_crime_category,nibrs_crime_against,nibrs_code,nibrs_group,nibrs_type,update_date,x_coordinate,y_cordinate,zip_code,city,state,location1
2018,1,ALARM INCIDENT REPORT (NO OFFENSE),Other,N/A,2112 BROOKFIELD AVE,3081,522,NORTHWEST,D2,2018-07-17T00:00:00Z,2018,July,Tue,05:30:00,198,2018-07-17T00:00:00Z,2018,July,Tue,05:40:00,198,2018-07-17T05:42:00Z,2018-07-17T05:57:33Z,2018,July,Tue,05:57:00,198,2018-07-17T05:42:33Z,2018-07-17T05:42:05Z,2018-07-17T06:07:38Z,2018-07-17T05:44:07Z,Victim,Government,NA,NA,NA,A523,NA,NA,Suspended,Suspended,FALSE ALARM AT AUTO REPAIR SHOP,FALSE,NA,None,NA,NA,No,99999999,Alarm- No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-07-17T07:49:50Z,2470970.79628877,6991414.82754068,75235,DALLAS,TX,"2112 BROOKFIELD AVE
DALLAS, TX 75235
(32.83707, -96.864082)"
2021,2,LOST PROPERTY (NO OFFENSE),Outdoor Area Public/Private,NA,258 N CLIFF ST,4123,711,SOUTH CENTRAL,D4,2021-08-01T00:00:00Z,2021,August,Sun,08:00:00,213,2021-08-01T00:00:00Z,2021,August,Sun,08:00:00,213,2021-09-28T09:58:03Z,2021-10-02T01:40:47Z,2021,October,Sat,01:40:00,275,NA,NA,NA,NA,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,NA,NA,NA,Suspended,Suspended,NA,NA,NA,None,NA,UNK,NA,99999999,No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2021-10-02T02:10:47Z,2488988.16274,6960356.40861,75203,DALLAS,NA,"258 N CLIFF ST
DALLAS 75203
(32.75056, -96.806897)"
2021,1,BMV,Apartment Parking Lot,Motor Vehicle,12610 JUPITER RD,1090,233,NORTHEAST,D9,2021-07-11T00:00:00Z,2021,July,Sun,00:00:00,192,2021-07-11T00:00:00Z,2021,July,Sun,08:30:00,192,2021-07-11T08:53:00Z,2021-07-11T16:24:31Z,2021,July,Sun,16:24:00,192,2021-07-11T08:53:44Z,2021-07-11T08:53:35Z,2021-07-11T17:14:02Z,2021-07-11T16:07:13Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,EX10,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNK SUPS BROKE WINDOW & ENTERED VEHICLE & RMVD PROP W/OUT CONSENT,FALSE,NA,None,NA,NA,No,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2021-12-02T15:45:58Z,2526896.06862436,7003107.23230544,75238,DALLAS,TX,"12610 JUPITER RD
DALLAS, TX 75238
(32.866825, -96.683037)"
2019,1,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Residence,N/A,2425 BICKERS ST,4012,422,SOUTHWEST,D6,2019-11-11T00:00:00Z,2019,November,Mon,02:25:00,315,2019-11-11T00:00:00Z,2019,November,Mon,02:25:00,315,2019-11-11T02:25:00Z,2019-11-11T02:41:08Z,2019,November,Mon,02:41:00,315,2019-11-11T02:25:59Z,2019-11-11T02:25:58Z,2019-11-11T03:02:25Z,2019-11-11T02:27:15Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,A452,Investigations,Property Crime Division / SW Property Crimes,Suspended,Suspended,SUSP DAMAGED COMP'S WINDOW WITH INTENT.,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2019-12-06T14:31:25Z,2472230.43025245,6973624.75550935,75212,DALLAS,TX,"2425 BICKERS ST
DALLAS, TX 75212
(32.787089, -96.860527)"
2020,1,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),"Highway, Street, Alley ETC",N/A,3000 MCKINNEY AVE,2010,121,CENTRAL,D14,2020-01-20T00:00:00Z,2020,January,Mon,00:30:00,20,2020-01-20T00:00:00Z,2020,January,Mon,00:45:00,20,2020-01-23T14:09:00Z,2020-01-23T14:12:36Z,2020,January,Thu,14:12:00,23,2020-01-23T14:09:26Z,2020-01-23T14:09:26Z,2020-01-23T14:10:05Z,2020-01-23T14:09:27Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,B692,Investigations,Property Crime Division / CE Property Crimes,Suspended,Suspended,SUSP TRANSFERRED MONEY FROM COMPS CASH APP WITHOUT CONSENT,FALSE,NA,None,NA,NA,No,23990191,PC 31.03(e)(2)(A),NA,NA,NA,NA,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,23H,A,Coded,2020-02-04T18:30:11Z,2490568.80925803,6978508.14272419,75204,DALLAS,TX,"3000 MCKINNEY AVE
DALLAS, TX 75204
(32.801616, -96.800977)"
2020,2,CRIMINAL TRESPASS,Gas or Service Station,Commercial Property Occupied/Vacant,5304 ARAPAHO RD,6005,625,NORTH CENTRAL,D11,2020-03-22T00:00:00Z,2020,March,Sun,10:25:00,82,2020-03-22T00:00:00Z,2020,March,Sun,10:35:00,82,2020-03-22T10:37:00Z,2020-03-22T11:31:19Z,2020,March,Sun,11:31:00,82,2020-03-22T10:37:49Z,2020-03-22T10:37:48Z,2020-03-22T14:38:36Z,2020-03-22T10:42:02Z,Victim,Business,NA,NA,NA,B623,NA,NA,Clear by Arrest,CBA (Over Age 17),CRIMINAL TRESPASS,FALSE,NA,None,NA,NA,No,57070020,PC 30.05(D)(1),NA,NA,NA,NA,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY,SOCIETY,90J,B,90J - No Coded,2020-07-11T02:42:20Z,2483603.81432977,7036017.2517871,75248,DALLAS,TX,"5304 ARAPAHO RD
DALLAS, TX 75248
(32.95948, -96.82048)"
2019,1,BURGLARY OF BUILDING - FORCED ENTRY,Commercial Property Occupied/Vacant,N/A,3505 W NORTHWEST HWY,3059,538,NORTHWEST,D2,2019-08-11T00:00:00Z,2019,August,Sun,21:00:00,223,2019-08-12T00:00:00Z,2019,August,Mon,06:30:00,224,2019-08-12T08:30:00Z,2019-08-12T09:00:43Z,2019,August,Mon,09:00:00,224,2019-08-12T06:54:36Z,2019-08-12T06:54:36Z,2019-08-12T10:17:24Z,2019-08-12T08:37:51Z,Victim,Business,NA,NA,NA,B514,Investigations,Property Crime Division / NW Property Crimes,Suspended,Suspended,"SUSP THREW LARGE ROCKS THROUGH GLASS DOOR, ENTERED, TOOK PROPERTY",FALSE,NA,None,NA,NA,No,22990001,PC 30.02(c)(1),NA,NA,NA,NA,BURGLARY-BUSINESS,BURGLARY/ BREAKING & ENTERING,PROPERTY,220,A,Coded,2019-09-26T11:12:59Z,2471467.84450728,6999249.06285644,75220,DALLAS,TX,"3505 W NORTHWEST HWY
DALLAS, TX 75220
(32.858396, -96.86157)"
2018,1,CRIMINAL TRESPASS WARNING,Retail Store,N/A,6120 E MOCKINGBIRD LN,1141,142,CENTRAL,D14,2018-12-18T00:00:00Z,2018,December,Tue,06:45:00,352,2018-12-18T00:00:00Z,2018,December,Tue,06:47:00,352,2018-12-18T06:50:00Z,2018-12-18T06:47:18Z,2018,December,Tue,06:47:00,352,2018-12-18T06:03:43Z,2018-12-18T06:03:42Z,2018-12-18T09:22:19Z,2018-12-18T06:08:25Z,Victim,Business,NA,NA,NA,A111,NA,NA,Suspended,Suspended,CTW REPORT,FALSE,NA,None,NA,NA,No,99999999,No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-12-19T07:04:27Z,2502643.00919095,6991524.65474886,75214,DALLAS,TX,"6120 E MOCKINGBIRD LN
DALLAS, TX 75214
(32.836444, -96.760813)"
2019,1,CRIM MISCHIEF > OR EQUAL $100 < $750,Commercial Property Occupied/Vacant,N/A,915 W JEFFERSON BLVD,4117,417,SOUTHWEST,D1,2019-10-01T00:00:00Z,2019,October,Tue,05:54:00,274,2019-10-01T00:00:00Z,2019,October,Tue,05:54:00,274,2019-10-01T06:00:00Z,2019-10-01T06:24:17Z,2019,October,Tue,06:24:00,274,2019-10-01T05:53:07Z,2019-10-01T05:52:51Z,2019-10-01T06:45:25Z,2019-10-01T05:59:19Z,Victim,Business,NA,NA,NA,A434,Investigations,Property Crime Division / SW Property Crimes,Suspended,Suspended,UNKNOWN SUSPECT CAUSED DAMAGE TO COMPLAINANT'S PROPERTY.,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2019-10-18T08:54:27Z,2479390.46350452,6957387.77354768,75208,DALLAS,TX,"915 W JEFFERSON BLVD
DALLAS, TX 75208
(32.743233, -96.838414)"
2019,3,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Single Family Residence - Occupied,N/A,1016 BOQUILLAS CT,2203,337,SOUTHEAST,D5,2019-11-29T00:00:00Z,2019,November,Fri,21:00:00,333,2019-11-29T00:00:00Z,2019,November,Fri,21:25:00,333,2019-11-29T21:28:00Z,2019-11-30T00:56:53Z,2019,November,Sat,00:56:00,334,2019-11-29T21:28:54Z,2019-11-29T21:28:53Z,2019-11-30T01:30:54Z,2019-11-30T00:29:38Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,E331,Investigations,Property Crime Division / SE Property Crimes,Suspended,Suspended,"UNK SUSP CAME TO PROP, THROUGH GATE TOOK COMPS PROPERTY",FALSE,NA,None,NA,NA,No,23990191,PC 31.03(e)(2)(A),NA,NA,NA,NA,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,23H,A,Coded,2019-12-19T17:08:20Z,2530930.47623794,6953517.3341101,75217,DALLAS,TX,"1016 BOQUILLAS CT
DALLAS, TX 75217
(32.730132, -96.671161)"
